location_id,statistic_zone_id,province_name,statistic_zone_name,municipality_slug,municipality_lat,municipality_lon,municipality_name
28129,02,Madrid,Norte Metropolitano,san-agustin-del-guadalix,40.6809652,-3.6154482,San Agustín del Guadalix
28130,03,Madrid,Este Metropolitano,san-fernando-de-henares,40.4256038,-3.5318722,San Fernando de Henares
28131,11,Madrid,Sierra Central,san-lorenzo-de-el-escorial,40.5932386,-4.1475748,San Lorenzo de El Escorial
28132,04,Madrid,Sur Metropolitano,san-martin-de-la-vega,40.2103049,-3.5787384,San Martín de la Vega
28133,10,Madrid,Sierra Sur,san-martin-de-valdeiglesias,40.3635617,-4.4035034,San Martín de Valdeiglesias
28134,02,Madrid,Norte Metropolitano,san-sebastian-de-los-reyes,40.5589672,-3.6261976,San Sebastián de los Reyes
28135,10,Madrid,Sierra Sur,santa-maria-de-la-alameda,40.5963264,-4.2596149,Santa María de la Alameda
28136,08,Madrid,Sudeste Comunidad,santorcaz,40.4720739,-3.2338527,Santorcaz
28137,08,Madrid,Sudeste Comunidad,santos-de-la-humosa-los,40.47294,-3.64942,"Santos de la Humosa, Los"
28138,06,Madrid,Sierra Norte,serna-del-monte-la,40.4724364,-3.7196632,"Serna del Monte, La"
28140,09,Madrid,Sudoeste Comunidad,serranillos-del-valle,40.2056183,-3.8833494,Serranillos del Valle
28141,09,Madrid,Sudoeste Comunidad,sevilla-la-nueva,40.3473337,-4.0274014,Sevilla la Nueva
28143,06,Madrid,Sierra Norte,somosierra,41.1330027,-3.5824103,Somosierra
28144,11,Madrid,Sierra Central,soto-del-real,40.7528628,-3.7816093,Soto del Real
28145,07,Madrid,Nordeste Comunidad,talamanca-de-jarama,40.7451696,-3.5111468,Talamanca de Jarama
28146,08,Madrid,Sudeste Comunidad,tielmes,40.2475704,-3.3124535,Tielmes
28147,08,Madrid,Sudeste Comunidad,titulcia,40.1377552,-3.5698814,Titulcia
28148,03,Madrid,Este Metropolitano,torrejon-de-ardoz,40.4567552,-3.4754967,Torrejón de Ardoz
28149,09,Madrid,Sudoeste Comunidad,torrejon-de-la-calzada,40.1969481,-3.7981283,Torrejón de la Calzada
28150,09,Madrid,Sudoeste Comunidad,torrejon-de-velasco,40.1874784,-3.7752572,Torrejón de Velasco
28151,06,Madrid,Sierra Norte,torrelaguna,40.8275222,-3.5395265,Torrelaguna
28152,05,Madrid,Oeste Metropolitano,torrelodones,40.5766078,-3.9293646,Torrelodones
28153,06,Madrid,Sierra Norte,torremocha-de-jarama,40.8421508,-3.4946603,Torremocha de Jarama
28154,08,Madrid,Sudeste Comunidad,torres-de-la-alameda,40.4054714,-3.3615643,Torres de la Alameda
