location_id,municipality_name,poblacion,afiliados-ss,autonomos,empresas,personas-paradas,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-principales,afiliados-ss_PCP,autonomos_PCP,empresas_PCP,personas-paradas_PCP,viviendas-familiares_PCP,viviendas-principales_PCP
28180,Villarejo de Salvanés,7265,2215,469,376,561,20270,17190,3740,2615,30.488644184446,6.45560908465244,5.17549896765313,7.72195457673778,51.4796971782519,35.9944941500344
28052,Chinchón,5294,1388,407,367,364,20156,16866,3045,1969,26.2183604080091,7.68794862108047,6.93237627502833,6.87570834907442,57.5179448432187,37.1930487344163
28110,Perales de Tajuña,2799,464,200,166,281,19920,16775,1579,1007,16.5773490532333,7.14540907466952,5.93068953197571,10.0392997499107,56.4130046445159,35.9771346909611
28171,Villa del Prado,6295,1652,447,291,467,19782,16834,4596,2214,26.2430500397141,7.10087370929309,4.62271644162033,7.41858617950755,73.010325655282,35.1707704527403
28019,Belmonte de Tajo,1605,219,112,65,87,18807,16082,967,633,13.6448598130841,6.97819314641745,4.04984423676012,5.42056074766355,60.2492211838006,39.4392523364486
28031,Cadalso de los Vidrios,2788,495,171,188,358,17971,15339,2862,1123,17.7546628407461,6.13342898134864,6.74318507890961,12.8407460545194,102.654232424677,40.2797704447633
28055,Estremera,1319,815,94,67,85,16589,14447,957,492,61.7892342683851,7.12661106899166,5.07960576194086,6.44427596664139,72.5549658832449,37.3009855951478
28176,Villanueva de la Cañada,19611,6446,1803,1828,691,44705,33691,8385,5718,32.8693080414053,9.193819795013,9.3212992708174,3.52353271123349,42.7566161847942,29.1571057059813
28169,Venturada,2014,404,202,162,81,42127,31899,1332,707,20.0595829195631,10.0297914597815,8.04369414101291,4.02184707050646,66.137040714995,35.1042701092354
28041,Cobeña,7009,1542,495,434,273,38100,29465,2764,2217,22.0002853474105,7.06234840918819,6.19203880724782,3.89499215294621,39.4350121272649,31.6307604508489
28009,Algete,20311,8069,1468,1761,994,36747,28439,7951,6570,39.7272413962877,7.22761065432524,8.67017872089016,4.89389985722023,39.1462754172616,32.3470040864556
28160,Valdemorillo,12168,2527,1024,1039,679,33196,26205,7054,4412,20.767587113741,8.4155161078238,8.5387902695595,5.5802103879027,57.9717291255753,36.259040105194
28061,Galapagar,32404,5635,2428,2326,1784,32007,25221,15187,11187,17.3898284162449,7.49290211085051,7.17812615726454,5.50549314899395,46.8676706579435,34.5235156153561
28054,"Escorial, El",15364,2575,1116,1018,776,29735,23728,9836,5593,16.7599583441812,7.2637334027597,6.62587867742775,5.05076802915907,64.0197865139287,36.4032803957303
28119,Quijorna,3239,418,233,213,198,26484,21691,1603,1172,12.9052176597715,7.19357826489657,6.5761037357209,6.11299783883915,49.4905835134301,36.1840074096944
28141,Sevilla la Nueva,8905,1729,741,643,529,26190,21296,4022,3033,19.4160583941606,8.32116788321168,7.2206625491297,5.94048287478944,45.1656372824256,34.0595171252106
28065,Getafe,176659,67557,8346,8169,10704,25826,21126,68984,62509,38.2414708562824,4.72435596261725,4.62416293537267,6.05913086794333,39.0492417595481,35.3839883617591
28050,Cubas de la Sagra,5971,1249,507,368,276,25183,20708,2220,1713,20.9177692178865,8.49104002679618,6.16312175514989,4.62234131636242,37.1797018924803,28.6886618656841
28028,Bustarviejo,2370,451,186,176,180,25106,20344,2409,952,19.0295358649789,7.84810126582278,7.42616033755274,7.59493670886076,101.645569620253,40.168776371308
28167,Velilla de San Antonio,12222,11608,786,821,754,24905,20345,4372,4127,94.9762722958599,6.43102601865488,6.71739486172476,6.16920307641957,35.7715594828997,33.7669775814106
28137,"Santos de la Humosa, Los",2435,281,141,115,162,24756,20416,1185,854,11.5400410677618,5.79055441478439,4.72279260780287,6.65297741273101,48.6652977412731,35.0718685831622
28096,Navalcarnero,26954,11159,1704,1567,1950,24552,20245,12065,8846,41.4001632410774,6.32188172441938,5.81360836981524,7.23454774801514,44.7614454255398,32.8188766045856
