location_id,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados-ss,autonomos,empresas,personas-paradas,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-principales
28156,Valdeavero,valdeavero,40.6336227,-3.3351139,270,101,103,114,1407,21825,18365,922,556
28056,Fresnedillas de la Oliva,fresnedillas-de-la-oliva,40.4864017,-4.1722255,201,93,79,136,1547,21604,18010,851,603
28168,"Vellón, El",vellon-el,40.4786715,-3.7341341,179,110,97,138,1846,21441,18062,1480,718
28058,Fuenlabrada,fuenlabrada,40.2902056,-3.8035477,45291,9708,10248,13949,194171,21340,17878,70835,66655
28901,Lozoyuela-Navas-Sieteiglesias,lozoyuela-navas-sieteiglesias,40.9124015,-3.6116494,365,88,80,78,1210,21328,17869,1930,489
28099,Navas del Rey,navas-del-rey,40.3877545,-4.249999,507,157,168,266,2659,20851,17672,1736,971
28133,San Martín de Valdeiglesias,san-martin-de-valdeiglesias,40.3635617,-4.4035034,1579,484,501,730,8344,20851,17501,5865,2908
28043,Colmenar de Oreja,colmenar-de-oreja,40.1098823,-3.39055,1313,595,507,649,7946,18770,16203,4925,2979
28060,Fuentidueña de Tajo,fuentiduena-de-tajo,40.1188967,-3.1616515,305,105,97,193,1936,18386,15807,1419,766
28006,Alcobendas,alcobendas,40.5372512,-3.6372245,109424,6769,9710,5027,113340,47052,35002,41180,39101
28127,"Rozas de Madrid, Las",rozas-de-madrid-las,40.3092383,-4.4922092,64154,7205,10409,3125,94471,46843,35058,35388,29873
28045,Colmenar Viejo,colmenar-viejo,40.6626481,-3.7710457,11782,2708,2747,2692,48020,30388,24195,18927,15873
28131,San Lorenzo de El Escorial,san-lorenzo-de-el-escorial,40.5932386,-4.1475748,4463,1202,1278,890,18038,30038,23987,10030,7110
28023,"Boalo, El",boalo-el,40.3659918,-3.6161069,1491,604,504,411,7225,30023,23854,4283,2678
28179,Villar del Olmo,villar-del-olmo,40.3361286,-3.2360518,359,231,145,111,1981,28051,22466,1209,747
28059,Fuente el Saz de Jarama,fuente-el-saz-de-jarama,40.6352139,-3.5107894,1886,475,554,392,6403,26561,21489,2858,2198
28017,Batres,batres,40.2098126,-3.9199616,217,141,124,105,1582,25892,21040,993,526
28007,Alcorcón,alcorcon,40.3468454,-3.8278443,45991,7834,8744,9873,167354,25700,21042,70857,66066
28032,Camarma de Esteruelas,camarma-de-esteruelas,40.5474107,-3.3766851,2264,505,550,454,7050,25528,20921,2903,2424
28113,Pinto,pinto,40.2375052,-3.6967718,17762,2569,2895,3237,49522,25317,20744,19695,17401
28125,Robledo de Chavela,robledo-de-chavela,40.505008,-4.2345159,872,239,251,265,4001,25029,20517,3423,1459
28049,Coslada,coslada,40.4260459,-3.5651646,27039,4232,4685,4798,84533,24653,20269,31567,30490
28042,Colmenar del Arroyo,colmenar-del-arroyo,40.4176079,-4.1987434,448,96,103,125,1632,24248,19953,1104,588
28145,Talamanca de Jarama,talamanca-de-jarama,40.7451696,-3.5111468,588,223,203,186,3451,24014,19682,1949,1152
28027,Buitrago del Lozoya,buitrago-del-lozoya,40.989823,-3.6383114,472,147,137,93,1861,23268,19393,1233,740
28014,Arganda del Rey,arganda-del-rey,40.3064463,-3.4479063,22063,3072,3670,4392,54256,22952,19057,20458,18925
28106,Parla,parla,40.232367000000004,-3.768906,16386,5352,4241,10256,124661,21033,17761,47093,43712
28135,Santa María de la Alameda,santa-maria-de-la-alameda,40.5963264,-4.2596149,212,116,89,102,1177,20612,17272,2488,517
28102,Orusco de Tajuña,orusco-de-tajuna,40.2836404,-3.2093551,218,47,52,103,1225,20102,16999,994,488
28165,Valdilecha,valdilecha,40.2937839,-3.3023856,652,157,137,233,2749,19868,16876,1626,1023
28115,Pozuelo de Alarcón,pozuelo-de-alarcon,40.4440049,-3.8056526,76433,7782,10154,2405,84989,61643,44415,29840,26769
28129,San Agustín del Guadalix,san-agustin-del-guadalix,40.6809652,-3.6154482,3950,986,938,592,12862,39913,30395,4657,4186
28072,Hoyo de Manzanares,hoyo-de-manzanares,40.6226405,-3.9082735,2153,618,561,344,7965,35480,27707,5003,2695
28093,Navacerrada,navacerrada,40.7285661,-4.0146372,650,238,225,112,2885,31882,25085,2297,1105
28134,San Sebastián de los Reyes,san-sebastian-de-los-reyes,40.5589672,-3.6261976,42115,5033,6545,4192,86206,31520,24786,32465,29710
28046,Collado Mediano,collado-mediano,40.6951303,-4.0299546,1235,556,522,427,6583,31384,24728,4255,2391
28010,Alpedrete,alpedrete,40.6621635,-4.031169,2775,1012,1095,668,14417,31015,24632,7249,4910
28053,Daganzo de Arriba,daganzo-de-arriba,40.5450298,-3.4574079,3180,623,691,491,9981,29772,23746,3691,3215
28082,Manzanares el Real,manzanares-el-real,40.7262858,-3.8646893,1261,606,491,500,8387,29740,23659,5533,3007
28044,Colmenarejo,colmenarejo,40.5609399,-4.0167486,1506,554,546,514,8945,29084,23372,3749,3054
28100,Nuevo Baztán,nuevo-baztan,40.3664953,-3.2435923,1181,549,474,386,6018,28980,23189,3941,2067
28015,Arroyomolinos,arroyomolinos-madrid,40.2783308,-3.9215541,8014,2255,1846,1419,28177,28910,23223,10043,7813
28066,Griñón,grinon,40.2146067,-3.856943,5648,1067,1016,455,9938,28365,22799,3879,3185
28085,Miraflores de la Sierra,miraflores-de-la-sierra,40.8140407,-3.7663657,1048,441,427,419,5754,27366,21942,4816,2280
28083,Meco,meco,40.5539468,-3.3263003,5385,725,778,855,13426,26285,21345,5222,4370
28038,Cercedilla,cercedilla,40.7406497,-4.0568488,1712,500,484,376,6751,26191,21224,5038,2713
28164,Valdetorres de Jarama,valdetorres-de-jarama,40.6955184,-3.5129811,849,338,292,293,4260,25925,21148,2239,1455
28178,Villanueva de Perales,villanueva-de-perales,40.3453499,-4.1021346,527,118,111,106,1486,24212,20084,714,586
