location_id,municipality_name,Cluster,afiliados-ss,afiliados-ss_PCP,autonomos,autonomos_PCP,empresas,empresas_PCP,personas-paradas,personas-paradas_PCP,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-familiares_PCP,viviendas-principales,viviendas-principales_PCP,stillworkers,total_workers,municipality_lat,municipality_lon,movingworkers,pob_psactiva,tasa_movilidad
28013,Aranjuez,3,13861,23.9263274183525,2682,4.62956569771456,2730,4.71242145964234,4276,7.3810674583995,57932,25661,21032,24792,42.795001035697,20040,34.5922806048471,7323,15597,40.0305018,-3.6040527,8274,19873,0.530486632044624
28047,Collado Villalba,3,13462,21.854960468854,3197,5.19018783382308,3693,5.99542185496047,4177,6.78117440784454,61597,26194,21288,27741,45.0362842346218,22055,35.8053151939218,5117,22470,40.6308775,-4.0055605,17353,26647,0.7722741433021807
28045,Colmenar Viejo,3,11782,24.5356101624323,2708,5.6393169512703,2747,5.72053311120367,2692,5.60599750104123,48020,30388,24195,18927,39.4148271553519,15873,33.054977092878,5057,17370,40.6626481,-3.7710457,12313,20062,0.7088658606793322
28167,Velilla de San Antonio,0,11608,94.9762722958599,786,6.43102601865488,821,6.71739486172476,754,6.16920307641957,12222,24905,20345,4372,35.7715594828997,4127,33.7669775814106,684,4540,40.3699557,-3.4864498,3856,5294,0.8493392070484581
28096,Navalcarnero,0,11159,41.4001632410774,1704,6.32188172441938,1567,5.81360836981524,1950,7.23454774801514,26954,24552,20245,12065,44.7614454255398,8846,32.8188766045856,1868,8816,40.285599,-4.0166526,6948,10766,0.7881125226860254
28181,Villaviciosa de Odón,0,10612,38.905997946913,2860,10.4854084176565,3222,11.8125824901012,945,3.46458424989001,27276,39624,30563,11751,43.0818301803784,9166,33.6046341105734,1372,7892,40.3626807,-3.9139109,6520,8837,0.8261530663963508
28073,Humanes de Madrid,0,9896,50.5852885549251,1155,5.90400245361141,2048,10.4687420129837,1464,7.48351479834381,19563,21031,17753,7075,36.1652098348924,6430,32.8681695036549,1018,6875,40.2639589,-3.8171953,5857,8339,0.8519272727272728
28009,Algete,0,8069,39.7272413962877,1468,7.22761065432524,1761,8.67017872089016,994,4.89389985722023,20311,36747,28439,7951,39.1462754172616,6570,32.3470040864556,1260,7220,40.5964617,-3.5016452,5960,8214,0.8254847645429363
28015,Arroyomolinos,0,8014,28.4416367959683,2255,8.0029811548426,1846,6.55144266600419,1419,5.03602228768144,28177,28910,23223,10043,35.6425453383966,7813,27.72828903006,1160,10315,40.2783308,-3.9215541,9155,11734,0.887542413960252
28176,Villanueva de la Cañada,0,6446,32.8693080414053,1803,9.193819795013,1828,9.3212992708174,691,3.52353271123349,19611,44705,33691,8385,42.7566161847942,5718,29.1571057059813,1200,5890,40.4481075,-3.9975566,4690,6581,0.7962648556876061
