origen_destino,residencia,trabajo,zona_residencia,zona_trabajo,trabajadores
28079 - 28157,28079,28157,01,08,13
28079 - 28159,28079,28159,01,10,9
28079 - 28160,28079,28160,01,11,125
28079 - 28161,28079,28161,01,04,1893
28079 - 28162,28079,28162,01,07,133
28079 - 28163,28079,28163,01,07,22
28079 - 28164,28079,28164,01,07,60
28079 - 28165,28079,28165,01,08,53
28079 - 28166,28079,28166,01,08,3
28079 - 28167,28079,28167,01,03,332
28079 - 28168,28079,28168,01,06,8
28079 - 28169,28079,28169,01,06,28
28079 - 28170,28079,28170,01,08,11
28079 - 28171,28079,28171,01,09,37
28079 - 28172,28079,28172,01,08,97
28079 - 28173,28079,28173,01,08,16
28079 - 28174,28079,28174,01,09,15
28079 - 28175,28079,28175,01,09,12
28079 - 28176,28079,28176,01,05,967
28079 - 28177,28079,28177,01,11,327
28079 - 28178,28079,28178,01,09,80
28079 - 28179,28079,28179,01,08,16
28079 - 28180,28079,28180,01,08,103
28079 - 28181,28079,28181,01,05,1146
28079 - 28182,28079,28182,01,06,9
28079 - 28183,28079,28183,01,10,15
28079 - 28901,28079,28901,01,06,58
28079 - 28902,28079,28902,01,06,30
28079 - 28903,28079,28903,01,02,10274
28080 - 28002,28080,28002,05,03,13
28080 - 28004,28080,28004,05,09,5
28080 - 28005,28080,28005,05,03,102
28080 - 28006,28080,28006,05,02,592
28080 - 28007,28080,28007,05,04,383
28080 - 28009,28080,28009,05,02,11
28080 - 28010,28080,28010,05,11,8
28080 - 28013,28080,28013,05,04,16
28080 - 28014,28080,28014,05,03,61
28080 - 28015,28080,28015,05,09,18
28080 - 28017,28080,28017,05,09,1
28080 - 28022,28080,28022,05,05,402
28080 - 28023,28080,28023,05,11,2
28080 - 28024,28080,28024,05,06,2
28080 - 28026,28080,28026,05,05,15
28080 - 28031,28080,28031,05,10,2
28080 - 28032,28080,28032,05,07,3
28080 - 28033,28080,28033,05,08,2
28080 - 28038,28080,28038,05,11,5
28080 - 28040,28080,28040,05,04,18
28080 - 28042,28080,28042,05,10,4
28080 - 28043,28080,28043,05,08,2
28080 - 28044,28080,28044,05,11,24
28080 - 28045,28080,28045,05,02,18
28080 - 28046,28080,28046,05,11,3
28080 - 28047,28080,28047,05,05,59
28080 - 28049,28080,28049,05,03,60
28080 - 28052,28080,28052,05,08,2
28080 - 28053,28080,28053,05,07,5
28080 - 28054,28080,28054,05,11,19
28080 - 28058,28080,28058,05,04,112
28080 - 28061,28080,28061,05,05,24
28080 - 28065,28080,28065,05,04,214
28080 - 28066,28080,28066,05,09,10
28080 - 28068,28080,28068,05,11,10
28080 - 28072,28080,28072,05,05,4
28080 - 28073,28080,28073,05,04,17
28080 - 28074,28080,28074,05,04,164
28080 - 28075,28080,28075,05,08,5
28080 - 28079,28080,28079,05,01,11253
28080 - 28080,28080,28080,05,05,5236
28080 - 28082,28080,28082,05,11,2
28080 - 28083,28080,28083,05,07,4
28080 - 28084,28080,28084,05,03,6
28080 - 28087,28080,28087,05,11,1
28080 - 28090,28080,28090,05,11,2
28080 - 28091,28080,28091,05,08,2
28080 - 28092,28080,28092,05,04,137
28080 - 28093,28080,28093,05,11,2
28080 - 28095,28080,28095,05,10,6
28080 - 28096,28080,28096,05,09,71
28080 - 28099,28080,28099,05,10,4
28080 - 28100,28080,28100,05,08,2
28080 - 28104,28080,28104,05,03,7
28080 - 28106,28080,28106,05,04,22
28080 - 28109,28080,28109,05,10,2
28080 - 28110,28080,28110,05,08,1
28080 - 28113,28080,28113,05,04,35
28080 - 28115,28080,28115,05,05,1540
28080 - 28119,28080,28119,05,09,5
28080 - 28120,28080,28120,05,06,3
28080 - 28123,28080,28123,05,03,47
28080 - 28125,28080,28125,05,10,6
28080 - 28127,28080,28127,05,05,1778
28080 - 28128,28080,28128,05,10,3
28080 - 28129,28080,28129,05,02,10
28080 - 28130,28080,28130,05,03,41
28080 - 28131,28080,28131,05,11,15
28080 - 28132,28080,28132,05,04,5
28080 - 28133,28080,28133,05,10,5
28080 - 28134,28080,28134,05,02,168
28080 - 28140,28080,28140,05,09,1
28080 - 28141,28080,28141,05,09,7
28080 - 28144,28080,28144,05,11,4
28080 - 28148,28080,28148,05,03,88
28080 - 28149,28080,28149,05,09,1
28080 - 28152,28080,28152,05,05,76
28080 - 28154,28080,28154,05,08,3
28080 - 28160,28080,28160,05,11,23
28080 - 28161,28080,28161,05,04,25
28080 - 28162,28080,28162,05,07,4
28080 - 28164,28080,28164,05,07,1
28080 - 28165,28080,28165,05,08,2
28080 - 28167,28080,28167,05,03,3
28080 - 28169,28080,28169,05,06,4
28080 - 28171,28080,28171,05,09,1
28080 - 28173,28080,28173,05,08,1
28080 - 28176,28080,28176,05,05,125
28080 - 28177,28080,28177,05,11,105
28080 - 28178,28080,28178,05,09,2
28080 - 28181,28080,28181,05,05,109
28080 - 28183,28080,28183,05,10,11
28080 - 28903,28080,28903,05,02,195
28082 - 28002,28082,28002,11,03,5
28082 - 28005,28082,28005,11,03,12
28082 - 28006,28082,28006,11,02,138
28082 - 28007,28082,28007,11,04,14
28082 - 28009,28082,28009,11,02,4
28082 - 28010,28082,28010,11,11,7
28082 - 28013,28082,28013,11,04,14
28082 - 28014,28082,28014,11,03,8
28082 - 28018,28082,28018,11,11,8
28082 - 28022,28082,28022,11,05,16
28082 - 28023,28082,28023,11,11,42
28082 - 28024,28082,28024,11,06,2
28082 - 28026,28082,28026,11,05,2
28082 - 28027,28082,28027,11,06,1
28082 - 28028,28082,28028,11,06,1
28082 - 28029,28082,28029,11,06,2
28082 - 28038,28082,28038,11,11,2
28082 - 28040,28082,28040,11,04,1
28082 - 28044,28082,28044,11,11,8
28082 - 28045,28082,28045,11,02,213
28082 - 28046,28082,28046,11,11,2
28082 - 28047,28082,28047,11,05,60
28082 - 28049,28082,28049,11,03,9
28082 - 28050,28082,28050,11,09,1
28082 - 28052,28082,28052,11,08,1
28082 - 28053,28082,28053,11,07,5
28082 - 28054,28082,28054,11,11,2
28082 - 28058,28082,28058,11,04,6
28082 - 28059,28082,28059,11,07,1
28082 - 28061,28082,28061,11,05,6
28082 - 28062,28082,28062,11,06,1
28082 - 28065,28082,28065,11,04,15
28082 - 28066,28082,28066,11,09,2
28082 - 28067,28082,28067,11,06,2
28082 - 28068,28082,28068,11,11,3
28082 - 28072,28082,28072,11,05,3
28082 - 28073,28082,28073,11,04,1
28082 - 28074,28082,28074,11,04,11
28082 - 28078,28082,28078,11,06,2
28082 - 28079,28082,28079,11,01,1066
28082 - 28080,28082,28080,11,05,23
28082 - 28082,28082,28082,11,11,388
28082 - 28084,28082,28084,11,03,1
28082 - 28085,28082,28085,11,11,8
28082 - 28086,28082,28086,11,07,4
28082 - 28087,28082,28087,11,11,1
28082 - 28090,28082,28090,11,11,42
28082 - 28092,28082,28092,11,04,6
28082 - 28104,28082,28104,11,03,1
28082 - 28106,28082,28106,11,04,2
28082 - 28108,28082,28108,11,06,1
28082 - 28113,28082,28113,11,04,2
28082 - 28115,28082,28115,11,05,52
28082 - 28120,28082,28120,11,06,1
28082 - 28123,28082,28123,11,03,3
28082 - 28127,28082,28127,11,05,47
28082 - 28129,28082,28129,11,02,9
28082 - 28130,28082,28130,11,03,9
28082 - 28131,28082,28131,11,11,4
28082 - 28132,28082,28132,11,04,1
28082 - 28133,28082,28133,11,10,1
28082 - 28134,28082,28134,11,02,29
28082 - 28135,28082,28135,11,10,1
28082 - 28141,28082,28141,11,09,1
28082 - 28144,28082,28144,11,11,111
28082 - 28148,28082,28148,11,03,9
28082 - 28151,28082,28151,11,06,4
28082 - 28152,28082,28152,11,05,6
28082 - 28161,28082,28161,11,04,1
28082 - 28162,28082,28162,11,07,2
28082 - 28167,28082,28167,11,03,1
28082 - 28169,28082,28169,11,06,2
28082 - 28175,28082,28175,11,09,1
28082 - 28176,28082,28176,11,05,9
28082 - 28177,28082,28177,11,11,1
28082 - 28181,28082,28181,11,05,6
28082 - 28903,28082,28903,11,02,242
28083 - 28002,28083,28002,07,03,33
28083 - 28005,28083,28005,07,03,1225
28083 - 28006,28083,28006,07,02,123
28083 - 28007,28083,28007,07,04,15
28083 - 28009,28083,28009,07,02,27
28083 - 28013,28083,28013,07,04,8
28083 - 28014,28083,28014,07,03,18
28083 - 28015,28083,28015,07,09,2
28083 - 28019,28083,28019,07,08,1
28083 - 28020,28083,28020,07,06,1
28083 - 28022,28083,28022,07,05,3
28083 - 28032,28083,28032,07,07,78
28083 - 28033,28083,28033,07,08,2
28083 - 28040,28083,28040,07,04,8
28083 - 28041,28083,28041,07,02,2
28083 - 28045,28083,28045,07,02,5
28083 - 28047,28083,28047,07,05,2
28083 - 28049,28083,28049,07,03,65
28083 - 28050,28083,28050,07,09,1
28083 - 28053,28083,28053,07,07,26
28083 - 28054,28083,28054,07,11,1
28083 - 28058,28083,28058,07,04,13
28083 - 28059,28083,28059,07,07,7
28083 - 28061,28083,28061,07,05,1
28083 - 28065,28083,28065,07,04,28
28083 - 28072,28083,28072,07,05,1
28083 - 28074,28083,28074,07,04,19
28083 - 28075,28083,28075,07,08,23
28083 - 28079,28083,28079,07,01,1332
28083 - 28080,28083,28080,07,05,5
28083 - 28083,28083,28083,07,07,762
28083 - 28084,28083,28084,07,03,23
28083 - 28086,28083,28086,07,07,2
28083 - 28092,28083,28092,07,04,9
28083 - 28096,28083,28096,07,09,1
28083 - 28100,28083,28100,07,08,2
28083 - 28101,28083,28101,07,08,1
28083 - 28104,28083,28104,07,03,10
28083 - 28106,28083,28106,07,04,9
28083 - 28111,28083,28111,07,08,2
28083 - 28113,28083,28113,07,04,7
28083 - 28115,28083,28115,07,05,44
28083 - 28116,28083,28116,07,08,2
28083 - 28123,28083,28123,07,03,21
28083 - 28127,28083,28127,07,05,24
28083 - 28128,28083,28128,07,10,1
28083 - 28129,28083,28129,07,02,5
28083 - 28130,28083,28130,07,03,62
28083 - 28132,28083,28132,07,04,1
28083 - 28134,28083,28134,07,02,78
28083 - 28137,28083,28137,07,08,12
28083 - 28145,28083,28145,07,07,2
28083 - 28148,28083,28148,07,03,170
28083 - 28150,28083,28150,07,09,1
28083 - 28151,28083,28151,07,06,1
28083 - 28152,28083,28152,07,05,2
28083 - 28153,28083,28153,07,06,1
28083 - 28154,28083,28154,07,08,18
28083 - 28156,28083,28156,07,07,6
28083 - 28161,28083,28161,07,04,3
28083 - 28162,28083,28162,07,07,3
28083 - 28163,28083,28163,07,07,1
28083 - 28165,28083,28165,07,08,1
28083 - 28167,28083,28167,07,03,4
28083 - 28168,28083,28168,07,06,1
28083 - 28172,28083,28172,07,08,20
28083 - 28179,28083,28179,07,08,1
28083 - 28181,28083,28181,07,05,1
28083 - 28183,28083,28183,07,10,1
28083 - 28901,28083,28901,07,06,1
28083 - 28903,28083,28903,07,02,47
28084 - 28002,28084,28002,03,03,17
28084 - 28005,28084,28005,03,03,344
28084 - 28006,28084,28006,03,02,101
28084 - 28007,28084,28007,03,04,27
28084 - 28009,28084,28009,03,02,25
28084 - 28013,28084,28013,03,04,9
28084 - 28014,28084,28014,03,03,182
28084 - 28015,28084,28015,03,09,14
28084 - 28018,28084,28018,03,11,1
28084 - 28022,28084,28022,03,05,17
28084 - 28024,28084,28024,03,06,3
28084 - 28032,28084,28032,03,07,6
28084 - 28033,28084,28033,03,08,16
28084 - 28035,28084,28035,03,08,1
28084 - 28037,28084,28037,03,10,1
28084 - 28040,28084,28040,03,04,12
28084 - 28041,28084,28041,03,02,5
28084 - 28043,28084,28043,03,08,1
28084 - 28044,28084,28044,03,11,1
28084 - 28045,28084,28045,03,02,10
28084 - 28047,28084,28047,03,05,4
28084 - 28049,28084,28049,03,03,511
28084 - 28052,28084,28052,03,08,1
28084 - 28053,28084,28053,03,07,30
28084 - 28055,28084,28055,03,08,1
28084 - 28058,28084,28058,03,04,30
28084 - 28059,28084,28059,03,07,2
28084 - 28061,28084,28061,03,05,3
28084 - 28065,28084,28065,03,04,68
28084 - 28066,28084,28066,03,09,1
28084 - 28073,28084,28073,03,04,7
28084 - 28074,28084,28074,03,04,55
28084 - 28075,28084,28075,03,08,101
28084 - 28079,28084,28079,03,01,3510
28084 - 28080,28084,28080,03,05,24
28084 - 28082,28084,28082,03,11,3
28084 - 28083,28084,28083,03,07,21
28084 - 28084,28084,28084,03,03,1471
28084 - 28091,28084,28091,03,08,5
28084 - 28092,28084,28092,03,04,21
28084 - 28096,28084,28096,03,09,9
28084 - 28100,28084,28100,03,08,5
28084 - 28101,28084,28101,03,08,2
28084 - 28102,28084,28102,03,08,4
28084 - 28104,28084,28104,03,03,24
28084 - 28106,28084,28106,03,04,9
28084 - 28111,28084,28111,03,08,1
28084 - 28113,28084,28113,03,04,16
28084 - 28115,28084,28115,03,05,68
28084 - 28116,28084,28116,03,08,2
28084 - 28123,28084,28123,03,03,234
28084 - 28127,28084,28127,03,05,75
28084 - 28128,28084,28128,03,10,1
28084 - 28129,28084,28129,03,02,6
28084 - 28130,28084,28130,03,03,310
28084 - 28131,28084,28131,03,11,1
28084 - 28132,28084,28132,03,04,3
28084 - 28133,28084,28133,03,10,1
28084 - 28134,28084,28134,03,02,58
28084 - 28137,28084,28137,03,08,2
28084 - 28141,28084,28141,03,09,1
28084 - 28144,28084,28144,03,11,2
28084 - 28148,28084,28148,03,03,393
28084 - 28149,28084,28149,03,09,7
28084 - 28152,28084,28152,03,05,5
28084 - 28154,28084,28154,03,08,21
28084 - 28155,28084,28155,03,08,1
28084 - 28158,28084,28158,03,06,1
28084 - 28160,28084,28160,03,11,1
28084 - 28161,28084,28161,03,04,13
28084 - 28162,28084,28162,03,07,2
28084 - 28165,28084,28165,03,08,1
28084 - 28166,28084,28166,03,08,1
28084 - 28167,28084,28167,03,03,247
28084 - 28172,28084,28172,03,08,5
28084 - 28173,28084,28173,03,08,1
28084 - 28176,28084,28176,03,05,1
28084 - 28177,28084,28177,03,11,1
28084 - 28180,28084,28180,03,08,1
28084 - 28181,28084,28181,03,05,6
28084 - 28903,28084,28903,03,02,55
28085 - 28002,28085,28002,11,03,1
28085 - 28005,28085,28005,11,03,9
28085 - 28006,28085,28006,11,02,97
28085 - 28007,28085,28007,11,04,11
28085 - 28009,28085,28009,11,02,4
28085 - 28010,28085,28010,11,11,1
28085 - 28011,28085,28011,11,08,2
28085 - 28013,28085,28013,11,04,1
28085 - 28014,28085,28014,11,03,3
28085 - 28015,28085,28015,11,09,1
28085 - 28017,28085,28017,11,09,3
28085 - 28021,28085,28021,11,06,3
28085 - 28022,28085,28022,11,05,3
28085 - 28023,28085,28023,11,11,2
28085 - 28024,28085,28024,11,06,2
28085 - 28027,28085,28027,11,06,1
28085 - 28028,28085,28028,11,06,14
28085 - 28030,28085,28030,11,06,3
28085 - 28038,28085,28038,11,11,1
28085 - 28040,28085,28040,11,04,3
28085 - 28041,28085,28041,11,02,2
28085 - 28044,28085,28044,11,11,3
28085 - 28045,28085,28045,11,02,116
28085 - 28047,28085,28047,11,05,16
28085 - 28049,28085,28049,11,03,12
28085 - 28050,28085,28050,11,09,1
28085 - 28053,28085,28053,11,07,4
28085 - 28058,28085,28058,11,04,4
28085 - 28061,28085,28061,11,05,1
28085 - 28063,28085,28063,11,06,1
28085 - 28065,28085,28065,11,04,9
28085 - 28067,28085,28067,11,06,21
28085 - 28068,28085,28068,11,11,2
28085 - 28073,28085,28073,11,04,2
28085 - 28074,28085,28074,11,04,8
28085 - 28076,28085,28076,11,06,1
28085 - 28079,28085,28079,11,01,628
28085 - 28080,28085,28080,11,05,7
28085 - 28082,28085,28082,11,11,6
28085 - 28083,28085,28083,11,07,1
28085 - 28085,28085,28085,11,11,378
28085 - 28086,28085,28086,11,07,6
28085 - 28090,28085,28090,11,11,5
28085 - 28092,28085,28092,11,04,4
28085 - 28094,28085,28094,11,06,1
28085 - 28096,28085,28096,11,09,2
28085 - 28097,28085,28097,11,06,1
28085 - 28104,28085,28104,11,03,3
28085 - 28108,28085,28108,11,06,5
28085 - 28114,28085,28114,11,06,1
28085 - 28115,28085,28115,11,05,35
28085 - 28127,28085,28127,11,05,13
28085 - 28128,28085,28128,11,10,1
28085 - 28129,28085,28129,11,02,2
28085 - 28130,28085,28130,11,03,5
28085 - 28131,28085,28131,11,11,4
28085 - 28132,28085,28132,11,04,1
28085 - 28134,28085,28134,11,02,29
28085 - 28144,28085,28144,11,11,87
28085 - 28148,28085,28148,11,03,6
28085 - 28151,28085,28151,11,06,2
28085 - 28152,28085,28152,11,05,11
28085 - 28158,28085,28158,11,06,1
28085 - 28160,28085,28160,11,11,6
28085 - 28161,28085,28161,11,04,1
28085 - 28169,28085,28169,11,06,1
28085 - 28181,28085,28181,11,05,2
28085 - 28901,28085,28901,11,06,1
28085 - 28903,28085,28903,11,02,113
28086 - 28002,28086,28002,07,03,3
28086 - 28005,28086,28005,07,03,51
28086 - 28006,28086,28006,07,02,289
28086 - 28007,28086,28007,07,04,6
28086 - 28009,28086,28009,07,02,79
28086 - 28010,28086,28010,07,11,1
28086 - 28013,28086,28013,07,04,6
28086 - 28014,28086,28014,07,03,3
28086 - 28018,28086,28018,07,11,1
28086 - 28021,28086,28021,07,06,4
28086 - 28022,28086,28022,07,05,3
28086 - 28026,28086,28026,07,05,1
28086 - 28027,28086,28027,07,06,7
28086 - 28028,28086,28028,07,06,1
28086 - 28029,28086,28029,07,06,2
28086 - 28030,28086,28030,07,06,4
28086 - 28032,28086,28032,07,07,2
28086 - 28040,28086,28040,07,04,5
28086 - 28041,28086,28041,07,02,6
28086 - 28042,28086,28042,07,10,2
28086 - 28045,28086,28045,07,02,64
28086 - 28047,28086,28047,07,05,8
28086 - 28049,28086,28049,07,03,24
28086 - 28050,28086,28050,07,09,1
28086 - 28053,28086,28053,07,07,4
28086 - 28058,28086,28058,07,04,13
28086 - 28059,28086,28059,07,07,3
28086 - 28061,28086,28061,07,05,1
28086 - 28062,28086,28062,07,06,2
28086 - 28065,28086,28065,07,04,8
28086 - 28067,28086,28067,07,06,9
28086 - 28070,28086,28070,07,06,1
28086 - 28071,28086,28071,07,06,1
28086 - 28072,28086,28072,07,05,1
28086 - 28073,28086,28073,07,04,2
28086 - 28074,28086,28074,07,04,10
28086 - 28076,28086,28076,07,06,1
28086 - 28079,28086,28079,07,01,863
28086 - 28080,28086,28080,07,05,7
28086 - 28083,28086,28083,07,07,4
28086 - 28085,28086,28085,07,11,3
28086 - 28086,28086,28086,07,07,431
28086 - 28090,28086,28090,07,11,1
28086 - 28092,28086,28092,07,04,4
28086 - 28096,28086,28096,07,09,2
28086 - 28104,28086,28104,07,03,9
28086 - 28106,28086,28106,07,04,5
28086 - 28107,28086,28107,07,06,1
28086 - 28108,28086,28108,07,06,70
28086 - 28113,28086,28113,07,04,2
28086 - 28115,28086,28115,07,05,24
28086 - 28120,28086,28120,07,06,3
28086 - 28121,28086,28121,07,06,3
28086 - 28123,28086,28123,07,03,6
28086 - 28127,28086,28127,07,05,17
28086 - 28129,28086,28129,07,02,251
28086 - 28130,28086,28130,07,03,9
28086 - 28134,28086,28134,07,02,278
28086 - 28144,28086,28144,07,11,2
28086 - 28145,28086,28145,07,07,7
28086 - 28148,28086,28148,07,03,33
28086 - 28151,28086,28151,07,06,5
28086 - 28152,28086,28152,07,05,5
28086 - 28154,28086,28154,07,08,1
28086 - 28160,28086,28160,07,11,1
28086 - 28161,28086,28161,07,04,2
28086 - 28162,28086,28162,07,07,6
28086 - 28164,28086,28164,07,07,4
28086 - 28167,28086,28167,07,03,2
28086 - 28168,28086,28168,07,06,4
28086 - 28169,28086,28169,07,06,35
28086 - 28172,28086,28172,07,08,1
28086 - 28176,28086,28176,07,05,2
28086 - 28901,28086,28901,07,06,10
28086 - 28902,28086,28902,07,06,1
28086 - 28903,28086,28903,07,02,102
28087 - 28005,28087,28005,11,03,2
28087 - 28006,28087,28006,11,02,31
28087 - 28007,28087,28007,11,04,8
28087 - 28010,28087,28010,11,11,15
28087 - 28014,28087,28014,11,03,1
28087 - 28018,28087,28018,11,11,5
28087 - 28022,28087,28022,11,05,12
28087 - 28023,28087,28023,11,11,1
28087 - 28038,28087,28038,11,11,86
28087 - 28040,28087,28040,11,04,3
28087 - 28044,28087,28044,11,11,6
28087 - 28045,28087,28045,11,02,14
28087 - 28046,28087,28046,11,11,17
28087 - 28047,28087,28047,11,05,74
28087 - 28049,28087,28049,11,03,3
28087 - 28054,28087,28054,11,11,2
28087 - 28058,28087,28058,11,04,2
28087 - 28059,28087,28059,11,07,3
28087 - 28061,28087,28061,11,05,11
28087 - 28063,28087,28063,11,06,1
28087 - 28065,28087,28065,11,04,6
28087 - 28068,28087,28068,11,11,82
28087 - 28072,28087,28072,11,05,3
28087 - 28073,28087,28073,11,04,1
28087 - 28074,28087,28074,11,04,1
28087 - 28079,28087,28079,11,01,505
28087 - 28080,28087,28080,11,05,23
28087 - 28085,28087,28085,11,11,1
28087 - 28087,28087,28087,11,11,229
28087 - 28090,28087,28090,11,11,10
28087 - 28092,28087,28092,11,04,3
28087 - 28093,28087,28093,11,11,4
28087 - 28096,28087,28096,11,09,1
28087 - 28113,28087,28113,11,04,1
28087 - 28115,28087,28115,11,05,35
28087 - 28120,28087,28120,11,06,3
28087 - 28123,28087,28123,11,03,1
28087 - 28125,28087,28125,11,10,1
28087 - 28127,28087,28127,11,05,52
28087 - 28129,28087,28129,11,02,4
28087 - 28131,28087,28131,11,11,21
28087 - 28134,28087,28134,11,02,16
28087 - 28144,28087,28144,11,11,1
28087 - 28148,28087,28148,11,03,4
28087 - 28149,28087,28149,11,09,1
28087 - 28152,28087,28152,11,05,18
28087 - 28153,28087,28153,11,06,1
28087 - 28161,28087,28161,11,04,2
28087 - 28169,28087,28169,11,06,1
28087 - 28176,28087,28176,11,05,2
28087 - 28177,28087,28177,11,11,2
28087 - 28181,28087,28181,11,05,1
28087 - 28903,28087,28903,11,02,10
28088 - 28006,28088,28006,06,02,1
28088 - 28007,28088,28007,06,04,1
28088 - 28014,28088,28014,06,03,1
28088 - 28027,28088,28027,06,06,1
28088 - 28047,28088,28047,06,05,1
28088 - 28063,28088,28063,06,06,1
28088 - 28064,28088,28064,06,06,1
28088 - 28070,28088,28070,06,06,1
28088 - 28071,28088,28071,06,06,3
28088 - 28072,28088,28072,06,05,1
28088 - 28076,28088,28076,06,06,1
28088 - 28079,28088,28079,06,01,18
28088 - 28088,28088,28088,06,06,40
28088 - 28134,28088,28134,06,02,2
28088 - 28148,28088,28148,06,03,1
28088 - 28152,28088,28152,06,05,1
28088 - 28901,28088,28901,06,06,1
28089 - 28002,28089,28002,09,03,1
28089 - 28005,28089,28005,09,03,5
28089 - 28006,28089,28006,09,02,9
28089 - 28007,28089,28007,09,04,52
28089 - 28008,28089,28008,09,09,2
28089 - 28009,28089,28009,09,02,1
28089 - 28013,28089,28013,09,04,6
28089 - 28014,28089,28014,09,03,5
28089 - 28015,28089,28015,09,09,49
28089 - 28022,28089,28022,09,05,10
28089 - 28026,28089,28026,09,05,2
28089 - 28033,28089,28033,09,08,1
28089 - 28038,28089,28038,09,11,1
28089 - 28040,28089,28040,09,04,5
28089 - 28044,28089,28044,09,11,2
28089 - 28047,28089,28047,09,05,2
28089 - 28049,28089,28049,09,03,6
28089 - 28050,28089,28050,09,09,2
28089 - 28052,28089,28052,09,08,1
28089 - 28058,28089,28058,09,04,199
28089 - 28061,28089,28061,09,05,5
28089 - 28065,28089,28065,09,04,57
28089 - 28066,28089,28066,09,09,15
28089 - 28073,28089,28073,09,04,113
28089 - 28074,28089,28074,09,04,73
28089 - 28079,28089,28079,09,01,500
28089 - 28080,28089,28080,09,05,6
28089 - 28089,28089,28089,09,09,255
28089 - 28092,28089,28092,09,04,46
28089 - 28096,28089,28096,09,09,10
28089 - 28106,28089,28106,09,04,6
28089 - 28113,28089,28113,09,04,17
28089 - 28115,28089,28115,09,05,31
28089 - 28123,28089,28123,09,03,9
28089 - 28127,28089,28127,09,05,16
28089 - 28130,28089,28130,09,03,2
28089 - 28131,28089,28131,09,11,1
28089 - 28132,28089,28132,09,04,3
28089 - 28133,28089,28133,09,10,1
28089 - 28134,28089,28134,09,02,5
28089 - 28140,28089,28140,09,09,5
28089 - 28148,28089,28148,09,03,4
28089 - 28149,28089,28149,09,09,4
28089 - 28152,28089,28152,09,05,1
28089 - 28160,28089,28160,09,11,1
28089 - 28161,28089,28161,09,04,8
28089 - 28167,28089,28167,09,03,1
28089 - 28169,28089,28169,09,06,1
28089 - 28171,28089,28171,09,09,2
28089 - 28176,28089,28176,09,05,2
28089 - 28177,28089,28177,09,11,1
28089 - 28178,28089,28178,09,09,2
28089 - 28181,28089,28181,09,05,8
28089 - 28903,28089,28903,09,02,8
28090 - 28002,28090,28002,11,03,1
28090 - 28005,28090,28005,11,03,18
28090 - 28006,28090,28006,11,02,155
28090 - 28007,28090,28007,11,04,26
28090 - 28009,28090,28009,11,02,3
28090 - 28010,28090,28010,11,11,37
28090 - 28013,28090,28013,11,04,3
28090 - 28014,28090,28014,11,03,7
28090 - 28015,28090,28015,11,09,3
28090 - 28018,28090,28018,11,11,15
28090 - 28022,28090,28022,11,05,26
28090 - 28023,28090,28023,11,11,37
28090 - 28026,28090,28026,11,05,2
28090 - 28028,28090,28028,11,06,2
28090 - 28032,28090,28032,11,07,1
28090 - 28038,28090,28038,11,11,25
28090 - 28040,28090,28040,11,04,3
28090 - 28044,28090,28044,11,11,15
28090 - 28045,28090,28045,11,02,78
28090 - 28046,28090,28046,11,11,19
28090 - 28047,28090,28047,11,05,394
28090 - 28049,28090,28049,11,03,15
28090 - 28052,28090,28052,11,08,1
28090 - 28054,28090,28054,11,11,16
28090 - 28055,28090,28055,11,08,1
28090 - 28058,28090,28058,11,04,14
28090 - 28060,28090,28060,11,08,1
28090 - 28061,28090,28061,11,05,28
28090 - 28065,28090,28065,11,04,14
28090 - 28066,28090,28066,11,09,2
28090 - 28067,28090,28067,11,06,3
28090 - 28068,28090,28068,11,11,25
28090 - 28072,28090,28072,11,05,9
28090 - 28073,28090,28073,11,04,5
28090 - 28074,28090,28074,11,04,13
28090 - 28075,28090,28075,11,08,1
28090 - 28076,28090,28076,11,06,1
28090 - 28079,28090,28079,11,01,1658
28090 - 28080,28090,28080,11,05,78
28090 - 28082,28090,28082,11,11,13
28090 - 28085,28090,28085,11,11,3
28090 - 28087,28090,28087,11,11,5
28090 - 28090,28090,28090,11,11,703
28090 - 28092,28090,28092,11,04,14
28090 - 28093,28090,28093,11,11,9
28090 - 28104,28090,28104,11,03,10
28090 - 28106,28090,28106,11,04,5
28090 - 28108,28090,28108,11,06,1
28090 - 28113,28090,28113,11,04,5
28090 - 28115,28090,28115,11,05,131
28090 - 28120,28090,28120,11,06,3
28090 - 28123,28090,28123,11,03,4
28090 - 28127,28090,28127,11,05,229
28090 - 28128,28090,28128,11,10,1
28090 - 28129,28090,28129,11,02,8
28090 - 28130,28090,28130,11,03,12
28090 - 28131,28090,28131,11,11,28
28090 - 28132,28090,28132,11,04,2
28090 - 28133,28090,28133,11,10,1
28090 - 28134,28090,28134,11,02,51
28090 - 28144,28090,28144,11,11,12
28090 - 28148,28090,28148,11,03,16
28090 - 28152,28090,28152,11,05,71
28090 - 28160,28090,28160,11,11,3
28090 - 28161,28090,28161,11,04,4
28090 - 28162,28090,28162,11,07,1
28090 - 28168,28090,28168,11,06,1
28090 - 28176,28090,28176,11,05,9
28090 - 28177,28090,28177,11,11,3
28090 - 28181,28090,28181,11,05,13
28090 - 28903,28090,28903,11,02,123
28091 - 28002,28091,28002,08,03,3
28091 - 28005,28091,28005,08,03,22
28091 - 28006,28091,28006,08,02,25
28091 - 28007,28091,28007,08,04,13
28091 - 28013,28091,28013,08,04,23
28091 - 28014,28091,28014,08,03,376
